case,category,mode,embedding_model,top_k,has_relevant,recall_at_k,precision_at_k,mrr,distractor_hit_rate,stale_evidence_rate,top_hit_is_relevant,retrieved_message_ids,relevant_message_ids,distractor_message_ids,stale_message_ids
long_range_preference,long_range_recall,bm25,mock/hash,6,True,1.0,0.1667,1.0,0.0,0.0,True,"[5, 1, 2, 3, 4, 6]",[5],[],[]
long_range_preference,long_range_recall,embedding,mock/hash,6,True,1.0,0.1667,1.0,0.0,0.0,True,"[5, 1, 2, 3, 4, 6]",[5],[],[]
long_range_preference,long_range_recall,hybrid,mock/hash,6,True,1.0,0.1667,1.0,0.0,0.0,True,"[5, 1, 2, 3, 4, 6]",[5],[],[]
temporal_update,temporal_update,bm25,mock/hash,6,True,1.0,0.1667,1.0,0.0,0.1667,True,"[139, 87, 81, 82, 83, 84]",[139],[],[87]
temporal_update,temporal_update,embedding,mock/hash,6,True,1.0,0.1667,1.0,0.0,0.1667,True,"[139, 87, 99, 140, 81, 82]",[139],[],[87]
temporal_update,temporal_update,hybrid,mock/hash,6,True,1.0,0.1667,1.0,0.0,0.1667,True,"[139, 87, 99, 140, 81, 82]",[139],[],[87]
multi_hop_project_state,multi_hop,bm25,mock/hash,6,True,1.0,0.3333,1.0,0.0,0.0,True,"[211, 169, 161, 162, 163, 164]","[169, 211]",[],[]
multi_hop_project_state,multi_hop,embedding,mock/hash,6,True,1.0,0.3333,1.0,0.0,0.0,True,"[211, 169, 192, 161, 162, 163]","[169, 211]",[],[]
multi_hop_project_state,multi_hop,hybrid,mock/hash,6,True,1.0,0.3333,1.0,0.0,0.0,True,"[211, 169, 192, 161, 162, 163]","[169, 211]",[],[]
abstention_no_evidence,abstention,bm25,mock/hash,6,False,,,,0.0,0.0,False,"[241, 242, 243, 244, 245, 246]",[],[],[]
abstention_no_evidence,abstention,embedding,mock/hash,6,False,,,,0.0,0.0,False,"[241, 242, 243, 244, 245, 246]",[],[],[]
abstention_no_evidence,abstention,hybrid,mock/hash,6,False,,,,0.0,0.0,False,"[241, 242, 243, 244, 245, 246]",[],[],[]
distractor_retrieval_noise,retrieval_noise,bm25,mock/hash,6,True,1.0,0.1667,1.0,0.5,0.0,True,"[327, 339, 381, 359, 321, 322]",[327],"[339, 359, 381]",[]
distractor_retrieval_noise,retrieval_noise,embedding,mock/hash,6,True,1.0,0.1667,1.0,0.5,0.0,True,"[327, 339, 359, 381, 321, 358]",[327],"[339, 359, 381]",[]
distractor_retrieval_noise,retrieval_noise,hybrid,mock/hash,6,True,1.0,0.1667,1.0,0.5,0.0,True,"[327, 339, 359, 381, 321, 358]",[327],"[339, 359, 381]",[]
similar_entity_confusion,entity_disambiguation,bm25,mock/hash,6,True,1.0,0.1667,1.0,0.3333,0.0,True,"[427, 445, 469, 417, 418, 419]",[427],"[445, 469]",[]
similar_entity_confusion,entity_disambiguation,embedding,mock/hash,6,True,1.0,0.1667,1.0,0.3333,0.0,True,"[427, 445, 469, 425, 417, 418]",[427],"[445, 469]",[]
similar_entity_confusion,entity_disambiguation,hybrid,mock/hash,6,True,1.0,0.1667,1.0,0.3333,0.0,True,"[427, 445, 469, 425, 417, 418]",[427],"[445, 469]",[]
recent_override,recent_update,bm25,mock/hash,6,True,1.0,0.1667,1.0,0.0,0.1667,True,"[601, 521, 513, 514, 515, 516]",[601],[],[521]
recent_override,recent_update,embedding,mock/hash,6,True,1.0,0.1667,1.0,0.0,0.1667,True,"[601, 521, 531, 513, 514, 515]",[601],[],[521]
recent_override,recent_update,hybrid,mock/hash,6,True,1.0,0.1667,1.0,0.0,0.1667,True,"[601, 521, 531, 513, 514, 515]",[601],[],[521]
summary_drift_missing_constraint,summary_drift,bm25,mock/hash,6,True,1.0,0.1667,1.0,0.1667,0.0,True,"[621, 643, 609, 610, 611, 612]",[621],[643],[]
summary_drift_missing_constraint,summary_drift,embedding,mock/hash,6,True,1.0,0.1667,1.0,0.1667,0.0,True,"[621, 643, 619, 692, 699, 609]",[621],[643],[]
summary_drift_missing_constraint,summary_drift,hybrid,mock/hash,6,True,1.0,0.1667,1.0,0.1667,0.0,True,"[621, 643, 619, 692, 699, 609]",[621],[643],[]
semantic_paraphrase_retrieval,semantic_gap,bm25,mock/hash,6,True,0.0,0.0,0.0,0.1667,0.0,False,"[733, 705, 706, 707, 708, 709]",[715],[733],[]
semantic_paraphrase_retrieval,semantic_gap,embedding,mock/hash,6,True,0.0,0.0,0.0,0.1667,0.0,False,"[733, 705, 706, 707, 708, 709]",[715],[733],[]
semantic_paraphrase_retrieval,semantic_gap,hybrid,mock/hash,6,True,0.0,0.0,0.0,0.1667,0.0,False,"[733, 705, 706, 707, 708, 709]",[715],[733],[]
abbreviation_entity_retrieval,entity_abbreviation,bm25,mock/hash,6,True,1.0,0.1667,0.5,0.1667,0.1667,False,"[833, 797, 815, 785, 786, 787]",[797],[833],[815]
abbreviation_entity_retrieval,entity_abbreviation,embedding,mock/hash,6,True,1.0,0.1667,0.5,0.1667,0.1667,False,"[833, 797, 815, 793, 827, 785]",[797],[833],[815]
abbreviation_entity_retrieval,entity_abbreviation,hybrid,mock/hash,6,True,1.0,0.1667,0.5,0.1667,0.1667,False,"[833, 797, 815, 793, 827, 785]",[797],[833],[815]
long_range_preference,long_range_recall,bm25,local/bge-small-en-v1.5,6,True,1.0,0.1667,1.0,0.0,0.0,True,"[869, 865, 866, 867, 868, 870]",[869],[],[]
long_range_preference,long_range_recall,embedding,local/bge-small-en-v1.5,6,True,1.0,0.1667,1.0,0.0,0.0,True,"[869, 874, 873, 872, 870, 886]",[869],[],[]
long_range_preference,long_range_recall,hybrid,local/bge-small-en-v1.5,6,True,1.0,0.1667,1.0,0.0,0.0,True,"[869, 874, 873, 872, 870, 886]",[869],[],[]
temporal_update,temporal_update,bm25,local/bge-small-en-v1.5,6,True,1.0,0.1667,1.0,0.0,0.1667,True,"[1003, 951, 945, 946, 947, 948]",[1003],[],[951]
